,area_type,location,total_sqft,bath,balcony,price,BHK,price_per_sqft
0,Super built-up  Area,Electronic City Phase II,1056.0,2.0,1.0,39.07,2,3699.810606060606
1,Plot  Area,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4,4615.384615384615
2,Built-up  Area,Uttarahalli,1440.0,2.0,3.0,62.0,3,4305.555555555556
3,Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3,6245.890861275477
4,Super built-up  Area,Kothanur,1200.0,2.0,1.0,51.0,2,4250.0
5,Super built-up  Area,Whitefield,1170.0,2.0,1.0,38.0,2,3247.863247863248
6,Super built-up  Area,Old Airport Road,2732.0,4.0,2.0,204.0,4,7467.0571010248905
8,Super built-up  Area,Marathahalli,1310.0,3.0,1.0,63.25,3,4828.244274809161
10,Super built-up  Area,Whitefield,1800.0,2.0,2.0,70.0,3,3888.8888888888887
12,Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2,3800.0
13,Built-up  Area,Gottigere,1100.0,2.0,2.0,40.0,2,3636.3636363636365
14,Plot  Area,Sarjapur,2250.0,3.0,2.0,148.0,3,6577.777777777777
15,Super built-up  Area,Mysore Road,1175.0,2.0,2.0,73.5,2,6255.31914893617
16,Super built-up  Area,Bisuvanahalli,1180.0,3.0,2.0,48.0,3,4067.7966101694915
17,Super built-up  Area,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3,3896.103896103896
19,Super built-up  Area,Manayata Tech Park,1100.0,2.0,2.0,48.0,2,4363.636363636364
20,Built-up  Area,Kengeri,600.0,1.0,1.0,15.0,1,2500.0
21,Super built-up  Area,Binny Pete,1755.0,3.0,1.0,122.0,3,6951.5669515669515
23,Super built-up  Area,Bellandur,1767.0,3.0,1.0,103.0,3,5829.088851160159
24,Super built-up  Area, Thanisandra,510.0,1.0,0.0,25.25,1,4950.980392156863
25,Super built-up  Area,Mangammanapalya,1250.0,3.0,2.0,56.0,3,4480.0
26,Super built-up  Area,Electronic City,660.0,1.0,1.0,23.1,2,3500.0
27,Built-up  Area,Whitefield,1610.0,3.0,2.0,81.0,3,5031.055900621118
